,index,id,date,num_day_of_week,day_of_week,plays,likes,comments,reach,saved,shares,total_interactions,permalink,caption,hashtags,hour posted,enjoyment,shortcap
79,60,17943286763235448,2022-08-22,0,Mon,152831,6423,26,148107,380,375,7204,https://www.instagram.com/reel/Chi1Julsjf7/,"Jelly iced coffee 🤎🧊🥛

coffee Jelly:
-coffee
-unflavored gelatin 
-boiling water
-brown sugar

Iced Coffee:
-coffee jelly
-ice
-ginger brown sugar syrup
-milk
-cold brew

#coffee #coffeejelly #icedcoffee #coldbrew #miami #miamibeach #miaminightlife #florida #floridalife",9,02,4.202681393172851,"Jelly iced coffee 🤎🧊🥛

co"
80,61,17948707052149754,2022-08-24,2,Weds,129428,3965,27,125943,406,277,4675,https://www.instagram.com/reel/ChqAbSROPaj/,"Funky mojito 🍑 🌱 ❤️💚

-peach
-mint
-simple syrup
-lime juice
- ice
- rum
- sparkling water @drinkspindrift 

#mojito #mojitos #miami #fyp #ftlauderdale #florida #drinks #drink #cocktails",9,20,3.0634793089594217,"Funky mojito 🍑 🌱 ❤️💚

-pe"
81,62,17917715570593708,2022-08-29,0,Mon,31882,713,9,32018,39,73,834,https://www.instagram.com/reel/Ch2mbjmDKhg/,"New obsession 💚
Caramel brown sugar matcha latte 🧋

-boba
-ginger brown sugar syrup
-salted caramel @talenti ice cream
-milk
-matcha

#matchalatte #matcha #matchalover #latte #florida #floridalife #floridakeys #fortlauderdale #miami #fyp #viral",11,19,2.236371620350041,"New obsession 💚
Caramel b"
82,63,17957440018979690,2022-08-31,2,Weds,1725,33,0,1686,1,0,34,https://www.instagram.com/reel/Ch74mobPh6Z/,"Cuba Libre 🇨🇺

Coke, rum, and lime 💚

#cubalibre #cocktails #cocktail #rum @diplomaticorum #asmr #fl #f #florida #miami",9,19,1.9130434782608694,"Cuba Libre 🇨🇺

Coke, rum,"
83,64,17978937763593940,2022-09-04,6,Sun,3172,90,3,3220,8,14,115,https://www.instagram.com/reel/CiGc7abtd20/,"New favorite way to make cocktails 🍉💚❤️
Watermelon Paloma 🕊

-chamoy tajin rim
- ice
- watermelon juice
- lime juice
- @milagrotequila 
- @fevertreemixers pink grapefruit

#watermelon #delicious #margarita #paloma #miami #california #fyp #nicaragua #asmr #drinks #cocktails #tequila #viral",13,22,2.837326607818411,New favorite way to make 
84,65,17973389425738044,2022-09-07,2,Weds,2233,79,0,2286,9,2,90,https://www.instagram.com/reel/CiNrqX_MvU6/,"Michelada, the perfect drink for a long weekend with the fam ❤️

- salt rim
- ice
- lemon juice
- Worcestershire
- pepper
- beer

#beer #michelada #longweekend #cocktails #drinks #asmr #laborday #miami #california #fortlauderdale #florida #laketahoe #fyp #viral",14,17,3.5378414688759516,"Michelada, the perfect dr"
85,66,17863556174755520,2022-09-09,4,Fri,471,27,2,454,2,1,32,https://www.instagram.com/reel/CiSpxhHjO1K/,"Caffeine 😍 with a touch of raspberry basil 🌿 ♥️

#caffeine #coffee #icedcoffee #icedlatte #reels #coffeelover",6,15,5.7324840764331215,Caffeine 😍 with a touch o
86,67,17945032991104116,2022-09-10,5,Sat,531,28,0,524,1,0,29,https://www.instagram.com/reel/CiVvid0Axec/,"Mocha with matcha sweet cream 🍫💚

Mocha
-dark chocolate chips
-hot coffee
-ice
-cold brew
Sweet cream:
-heavy cream
-matcha
-powdered sugar 

#coffee #matcha #matchalatte #mocha #icedmocha #icedlatte #latte #coffeetime #coffeelover #coffeeaddict #fyp #florida #miami #chocolate",14,20,5.273069679849341,Mocha with matcha sweet c
87,68,17943012653138098,2022-09-12,0,Mon,8837,121,2,8881,11,8,142,https://www.instagram.com/reel/CiazAb0LrUl/,"Orange Kiwi Gin and Tonic 🍊🥝🧡💚 

- orange gin and tonic infusion
- gin
- lime juice
- ice
- dried caramelized orange
- kiwi
- @fevertreemixers tonic water

#ginandtonic #gin #cocktails #drinks #instagood #instafood #instalike #gintonic #fevertree #florida #miami #foryou #asmr",13,19,1.3692429557542152,Orange Kiwi Gin and Tonic
88,69,17931974087336542,2022-09-18,6,Sun,697,30,0,704,0,1,31,https://www.instagram.com/reel/CiqWwE4L1uq/,"What would you call it?

#coffee #coffeeaddict #coffeetime #coffeelover #coffeeholic #florida #miami",7,20,4.304160688665711,"What would you call it?

"
